RAW_DATA | iomt-3647 | execution_time: 0.241881s | queueing_delay: 0.000657s
RAW_DATA | iomt-3546 | execution_time: 0.298739s | queueing_delay: 0.001678s
RAW_DATA | iomt-2824 | execution_time: 0.246055s | queueing_delay: 0.000770s
RAW_DATA | iomt-3647 | execution_time: 0.248657s | queueing_delay: 0.000647s
RAW_DATA | iomt-2127 | execution_time: 0.240405s | queueing_delay: 0.000894s
RAW_DATA | iomt-3546 | execution_time: 0.232123s | queueing_delay: 0.000635s
RAW_DATA | iomt-2824 | execution_time: 0.414511s | queueing_delay: 0.000693s
RAW_DATA | iomt-3647 | execution_time: 0.495272s | queueing_delay: 0.000806s
RAW_DATA | iomt-2127 | execution_time: 0.245790s | queueing_delay: 0.000621s
RAW_DATA | iomt-3546 | execution_time: 0.381915s | queueing_delay: 0.011986s
RAW_DATA | iomt-2824 | execution_time: 0.407324s | queueing_delay: 0.000632s
RAW_DATA | iomt-2127 | execution_time: 0.225145s | queueing_delay: 0.000717s
RAW_DATA | iomt-3546 | execution_time: 0.536514s | queueing_delay: 0.006287s
RAW_DATA | iomt-3647 | execution_time: 0.255719s | queueing_delay: 0.000764s
RAW_DATA | iomt-2127 | execution_time: 0.242539s | queueing_delay: 0.000843s
RAW_DATA | iomt-3546 | execution_time: 0.584181s | queueing_delay: 0.000670s
RAW_DATA | iomt-3647 | execution_time: 0.678412s | queueing_delay: 0.006726s
RAW_DATA | iomt-2824 | execution_time: 0.925866s | queueing_delay: 0.000824s
RAW_DATA | iomt-2127 | execution_time: 0.597975s | queueing_delay: 0.013383s
RAW_DATA | iomt-3546 | execution_time: 0.533728s | queueing_delay: 0.000599s
RAW_DATA | iomt-2824 | execution_time: 0.815858s | queueing_delay: 0.006004s
RAW_DATA | iomt-2127 | execution_time: 0.932943s | queueing_delay: 0.053800s
RAW_DATA | iomt-3647 | execution_time: 0.915335s | queueing_delay: 0.006649s
RAW_DATA | iomt-3546 | execution_time: 0.537807s | queueing_delay: 0.000710s
RAW_DATA | iomt-2127 | execution_time: 0.620192s | queueing_delay: 0.000868s
RAW_DATA | iomt-2824 | execution_time: 0.537160s | queueing_delay: 0.000940s
RAW_DATA | iomt-3647 | execution_time: 0.326769s | queueing_delay: 0.001229s
RAW_DATA | iomt-3546 | execution_time: 0.321310s | queueing_delay: 0.000751s
RAW_DATA | iomt-2824 | execution_time: 0.606002s | queueing_delay: 0.000820s
RAW_DATA | iomt-2127 | execution_time: 0.836890s | queueing_delay: 0.009560s
RAW_DATA | iomt-3647 | execution_time: 0.702575s | queueing_delay: 0.000760s
RAW_DATA | iomt-3546 | execution_time: 0.278875s | queueing_delay: 0.000808s
