RAW_DATA | iomt-3647 | execution_time: 0.704022s | queueing_delay: 0.006981s
RAW_DATA | iomt-2824 | execution_time: 0.665113s | queueing_delay: 0.001130s
RAW_DATA | iomt-2127 | execution_time: 0.343377s | queueing_delay: 0.000737s
RAW_DATA | iomt-3647 | execution_time: 0.243908s | queueing_delay: 0.000627s
RAW_DATA | iomt-2824 | execution_time: 0.606494s | queueing_delay: 0.000711s
RAW_DATA | iomt-3546 | execution_time: 0.615205s | queueing_delay: 0.011658s
RAW_DATA | iomt-2127 | execution_time: 0.290771s | queueing_delay: 0.000740s
RAW_DATA | iomt-3647 | execution_time: 0.391373s | queueing_delay: 0.000602s
RAW_DATA | iomt-3546 | execution_time: 0.394690s | queueing_delay: 0.006419s
RAW_DATA | iomt-2824 | execution_time: 0.338446s | queueing_delay: 0.000886s
RAW_DATA | iomt-2127 | execution_time: 0.286701s | queueing_delay: 0.000770s
RAW_DATA | iomt-3546 | execution_time: 0.257327s | queueing_delay: 0.000936s
RAW_DATA | iomt-2824 | execution_time: 0.251929s | queueing_delay: 0.000788s
RAW_DATA | iomt-3647 | execution_time: 0.279986s | queueing_delay: 0.000801s
RAW_DATA | iomt-2127 | execution_time: 0.256654s | queueing_delay: 0.000933s
RAW_DATA | iomt-3546 | execution_time: 0.332440s | queueing_delay: 0.000849s
RAW_DATA | iomt-3647 | execution_time: 0.509604s | queueing_delay: 0.000807s
RAW_DATA | iomt-2824 | execution_time: 0.430722s | queueing_delay: 0.006509s
RAW_DATA | iomt-2127 | execution_time: 0.322318s | queueing_delay: 0.000829s
RAW_DATA | iomt-3546 | execution_time: 0.377111s | queueing_delay: 0.000976s
RAW_DATA | iomt-3647 | execution_time: 0.300918s | queueing_delay: 0.000805s
RAW_DATA | iomt-2824 | execution_time: 0.409322s | queueing_delay: 0.000723s
RAW_DATA | iomt-2127 | execution_time: 0.437590s | queueing_delay: 0.000927s
RAW_DATA | iomt-3546 | execution_time: 0.495392s | queueing_delay: 0.000628s
RAW_DATA | iomt-3647 | execution_time: 0.515310s | queueing_delay: 0.000814s
RAW_DATA | iomt-2127 | execution_time: 0.254985s | queueing_delay: 0.000852s
RAW_DATA | iomt-2824 | execution_time: 0.277694s | queueing_delay: 0.000852s
RAW_DATA | iomt-3546 | execution_time: 0.283589s | queueing_delay: 0.000791s
RAW_DATA | iomt-3647 | execution_time: 0.245236s | queueing_delay: 0.000735s
RAW_DATA | iomt-2127 | execution_time: 0.254869s | queueing_delay: 0.000666s
RAW_DATA | iomt-3546 | execution_time: 0.254193s | queueing_delay: 0.000863s
RAW_DATA | iomt-3647 | execution_time: 0.308187s | queueing_delay: 0.000898s
RAW_DATA | iomt-2824 | execution_time: 0.432901s | queueing_delay: 0.000875s
RAW_DATA | iomt-2127 | execution_time: 0.446316s | queueing_delay: 0.000823s
RAW_DATA | iomt-3647 | execution_time: 0.283951s | queueing_delay: 0.000887s
RAW_DATA | iomt-3546 | execution_time: 0.301498s | queueing_delay: 0.000680s
RAW_DATA | iomt-2824 | execution_time: 0.272687s | queueing_delay: 0.000662s
RAW_DATA | iomt-2127 | execution_time: 0.307863s | queueing_delay: 0.002916s
RAW_DATA | iomt-3647 | execution_time: 0.246922s | queueing_delay: 0.000609s
RAW_DATA | iomt-3546 | execution_time: 0.239144s | queueing_delay: 0.000684s
RAW_DATA | iomt-2824 | execution_time: 0.366423s | queueing_delay: 0.000618s
RAW_DATA | iomt-2127 | execution_time: 0.303177s | queueing_delay: 0.000992s
RAW_DATA | iomt-3647 | execution_time: 0.446337s | queueing_delay: 0.000762s
